Distance,Ascent,Name,City,Date
2.85 mi,20.3 ft,2.80mi Run,Lincolnwood,7/7/2020
3.09 mi,27.9 ft,3.03mi Run,Rolling Meadows,7/7/2020
3.51 mi,74.1 ft,Route from GARMIN 2158 (2020-07-07 23:22:20+00:00),Libertyville,7/7/2020
1.29 mi,15.4 ft,Route from GARMIN 2888 (2020-07-07 23:35:00+00:00),Evanston,7/7/2020
3.23 mi,41.7 ft,3.03mi Run,Chicago,7/7/2020
1.10 mi,2.6 ft,1.09mi Run,Bensenville,7/7/2020
5.80 mi,116.8 ft,Route from GARMIN 2697 (2020-07-07 21:36:53+00:00),Elmhurst,7/7/2020
3.83 mi,40.0 ft,3.54mi Run,Lincolnwood,7/7/2020
3.11 mi,32.2 ft,Reggie's 5K,Chicago,7/7/2020
3.07 mi,35.4 ft,3.01mi Run,Des Plaines,7/7/2020
7.67 mi,274.9 ft,DPU-South-North Ave-Mag Mile-MM-Halstead,Chicago,7/7/2020
3.20 mi,34.8 ft,Route from GARMIN FR220 (2020-07-07 17:08:49+00:00),Chicago,7/7/2020
3.83 mi,158.5 ft,3.65mi Run,Chicago,7/7/2020
2.35 mi,56.1 ft,2.27mi Run,Chicago,7/7/2020
7.48 mi,95.5 ft,7.20mi Run,Forest Park,7/7/2020
0.95 mi,15.4 ft,Route from GARMIN 2431 (2020-07-07 14:13:28+00:00),Deer Park,7/7/2020
21.05 mi,523.3 ft,20.72mi Run,Lombard,7/7/2020
3.33 mi,351.4 ft,3.05mi Run,Chicago,7/7/2020
4.67 mi,120.1 ft,4.54мил. Бег,Deer Park,7/7/2020
3.12 mi,15.7 ft,3.00mi Run,Cicero,7/7/2020
3.44 mi,50.2 ft,3.32mi Run,Lincolnwood,7/7/2020
1.22 mi,10.5 ft,0.99mi Run,Oak Park,7/7/2020
4.08 mi,179.5 ft,3.94mi Run,North Chicago,7/7/2020
1.01 mi,8.9 ft,0.99mi Run,Oak Park,7/7/2020
3.05 mi,41.7 ft,Route from GARMIN 2431 (2020-07-07 10:33:16+00:00),Deerfield,7/7/2020
5.27 mi,303.1 ft,Route from GARMIN 3113 (2020-07-07 10:10:18+00:00),Chicago,7/7/2020
2.27 mi,18.4 ft,2.13mi Run,Oakbrook Terrace,7/7/2020
4.04 mi,81.7 ft,Route from Suunto (2020-07-06),Chicago,7/6/2020
4.04 mi,41.0 ft,Route from GARMIN 2158 (2020-07-07 03:28:22+00:00),Libertyville,7/6/2020
3.18 mi,49.5 ft,3.01mi Run,Itasca,7/6/2020
3.36 mi,51.5 ft,3.25mi Run,Bensenville,7/6/2020
2.09 mi,43.6 ft,Run 2.03mi on 7/6/20,Vernon Hills,7/6/2020
4.24 mi,36.7 ft,4.01mi Run,Norridge,7/6/2020
4.07 mi,70.5 ft,4.01mi Run,Hoffman Estates,7/6/2020
3.80 mi,49.9 ft,3.15mi Run,Chicago,7/6/2020
5.38 mi,93.8 ft,Route from GARMIN 2431 (2020-07-06 23:18:47+00:00),Chicago,7/6/2020
2.35 mi,338.3 ft,2.03mi Run,Chicago,7/6/2020
2.21 mi,16.7 ft,2.15mi Run,Lincolnwood,7/6/2020
3.54 mi,34.8 ft,Route from GARMIN 2431 (2020-07-06 23:02:08+00:00),Lincolnwood,7/6/2020
1.79 mi,7.2 ft,Route from GARMIN FR220 (2020-07-01 16:41:38+00:00),Oak Park,7/6/2020
0.38 mi,0.0 ft,Route from GARMIN FR220 (2020-06-30 12:05:38+00:00),Chicago,7/6/2020
0.80 mi,3.6 ft,Route from GARMIN FR220 (2020-06-29 11:48:32+00:00),Chicago,7/6/2020
5.12 mi,91.5 ft,Route from GARMIN 2431 (2020-07-06 22:26:47+00:00),Lincolnwood,7/6/2020
4.12 mi,62.7 ft,4.02mi Run,Lincolnwood,7/6/2020
2.41 mi,23.6 ft,2.16mi Run,Chicago,7/6/2020
1.57 mi,22.3 ft,1.51mi Run,Lombard,7/6/2020
1.35 mi,0.7 ft,Route from GARMIN 2431 (2020-07-06 14:14:20+00:00),Deer Park,7/6/2020
5.26 mi,145.0 ft,DPU-LakeFront North-Belmont-Broadway South,Chicago,7/6/2020
5.25 mi,103.3 ft,5.07mi Run,Chicago,7/6/2020
10.09 mi,124.3 ft,Route from GARMIN 2988 (2020-07-06 18:54:19+00:00),Lincolnwood,7/6/2020
2.12 mi,97.1 ft,2.01mi Run,Chicago,7/6/2020
3.33 mi,28.5 ft,3.23mi Run,Broadview,7/6/2020
2.70 mi,81.0 ft,2.40mi Run,Chicago,7/6/2020
3.19 mi,25.3 ft,Route from GARMIN 2503 (2020-07-06 16:01:06+00:00),Broadview,7/6/2020
4.32 mi,33.5 ft,4.05mi Run,Lincolnwood,7/6/2020
26.43 mi,591.9 ft,26.08mi Run,Lombard,7/6/2020
0.35 mi,3.0 ft,0.27mi Run,Chicago,7/6/2020
4.32 mi,338.6 ft,3.74mi Run,Chicago,7/6/2020
1.98 mi,19.7 ft,1.86mi Run,Oak Park,7/6/2020
6.08 mi,190.9 ft,Route from GARMIN 2431 (2020-07-06 12:34:21+00:00),Chicago,7/6/2020
9.05 mi,127.0 ft,Route from GARMIN 3113 (2020-07-06 11:48:20+00:00),Arlington Heights,7/6/2020
5.37 mi,84.0 ft,5.20mi Run,Forest Park,7/6/2020
3.28 mi,368.4 ft,2.97mi Run,Chicago,7/6/2020
1.74 mi,26.6 ft,1.55mi Run,Oak Park,7/6/2020
2.92 mi,37.4 ft,2.83mi Run,Lincolnwood,7/6/2020
3.91 mi,67.6 ft,3.71mi Run,Grayslake,7/6/2020
3.17 mi,28.2 ft,3.10mi Run,Elmhurst,7/6/2020
1.47 mi,19.4 ft,1.37mi Run,Lincolnwood,7/6/2020
5.23 mi,128.0 ft,5.01mi Run,Roselle,7/6/2020
5.01 mi,66.9 ft,Route from GARMIN 2888 (2020-07-06 10:20:08+00:00),Evanston,7/6/2020
3.15 mi,33.1 ft,Post-holiday 5k,Morton Grove,7/6/2020
3.23 mi,39.0 ft,3.12mi Run,Bensenville,7/5/2020
4.16 mi,24.9 ft,4.04mi Run,Lincolnwood,7/5/2020
3.07 mi,52.5 ft,Route from GARMIN 3077 (2020-07-05 13:34:15+00:00),Highland Park,7/5/2020
4.33 mi,78.7 ft,Route from GARMIN 3077 (2020-07-03 11:44:33+00:00),Highland Park,7/5/2020
3.38 mi,56.8 ft,Route from GARMIN 3077 (2020-06-30 10:57:29+00:00),Highland Park,7/5/2020
2.51 mi,41.3 ft,Route from GARMIN 3077 (2020-07-01 11:07:30+00:00),Highland Park,7/5/2020
6.15 mi,56.8 ft,6.01mi Run,Lincolnwood,7/5/2020
2.07 mi,11.5 ft,2.01mi Run,Lincolnwood,7/5/2020
0.99 mi,10.5 ft,Route from GARMIN 2431 (2020-07-05 23:53:40+00:00),Deer Park,7/5/2020
1.30 mi,10.8 ft,Route from GARMIN 2623 (2020-07-05 23:43:36+00:00),Lincolnwood,7/5/2020
4.39 mi,37.1 ft,Route from GARMIN 2623 (2020-07-05 23:00:05+00:00),Lincolnwood,7/5/2020
3.59 mi,70.5 ft,3.48mi Run,Lincolnwood,7/5/2020
2.52 mi,114.8 ft,2.02mi Run,Chicago,7/5/2020
13.58 mi,445.2 ft,13.12мил. Бег,Kildeer,7/5/2020
6.65 mi,153.5 ft,DPU-LakeFront North-5k Loop-Broadway South,Chicago,7/5/2020
2.82 mi,30.8 ft,2.72mi Run,Deer Park,7/5/2020
3.39 mi,18.7 ft,Route from GARMIN FR920XT (2020-07-05 21:34:29+00:00),Oak Park,7/5/2020
3.29 mi,132.9 ft,5.01km Run,Chicago,7/5/2020
3.10 mi,15.1 ft,3.00mi Run,Cicero,7/5/2020
2.73 mi,54.8 ft,2.67mi Run,Highwood,7/5/2020
5.77 mi,108.3 ft,5.50mi Run,Chicago,7/5/2020
130.92 mi,"2,445.5 ft",Chicago,Chicago,7/5/2020
7.99 mi,158.1 ft,7.52mi Run,Lombard,7/5/2020
4.36 mi,45.3 ft,4.18mi Run,Rolling Meadows,7/5/2020
6.30 mi,343.2 ft,Route from GARMIN 3113 (2020-07-05 15:16:08+00:00),Chicago,7/5/2020
4.36 mi,98.4 ft,lake front to belmont harbor,Chicago,7/5/2020
6.07 mi,90.6 ft,Route from GARMIN 2431 (2020-07-05 14:23:23+00:00),Lincolnwood,7/5/2020
8.69 mi,100.1 ft,7.71mi Run,Northbrook,7/5/2020
0.01 mi,0.0 ft,Route from GARMIN 2431 (2020-07-05 15:09:23+00:00),Evanston,7/5/2020
5.04 mi,35.8 ft,Route from GARMIN 2431 (2020-07-05 12:59:06+00:00),Evanston,7/5/2020
4.13 mi,39.0 ft,4.02mi Run,Des Plaines,7/5/2020
3.31 mi,54.5 ft,3.01mi Run,Hoffman Estates,7/5/2020
6.56 mi,91.5 ft,Route from GARMIN 2888 (2020-07-05 12:22:47+00:00),Lincolnwood,7/5/2020
1.11 mi,18.7 ft,Route from GARMIN 2431 (2020-07-05 13:31:35+00:00),Deer Park,7/5/2020
5.96 mi,82.7 ft,Route from GARMIN FR220 (2020-07-05 12:12:49+00:00),Glenview,7/5/2020
1.23 mi,13.1 ft,0.99mi Run,Oak Park,7/5/2020
3.33 mi,51.5 ft,Route from Unknown File (2020-07-05 00:32:53+00:00),Evanston,7/4/2020
6.22 mi,76.8 ft,6.07mi Run,Chicago,7/4/2020
2.64 mi,27.2 ft,4.01km Run,Chicago,7/4/2020
1.14 mi,10.2 ft,1.12mi Run,Lincolnwood,7/4/2020
6.28 mi,80.7 ft,Route from GARMIN 2888 (2020-07-04 20:29:36+00:00),Evanston,7/4/2020
9.23 mi,276.2 ft,Route from GARMIN 2431 (2020-07-04 13:55:48+00:00),Vernon Hills,7/4/2020
6.26 mi,63.0 ft,Route from GARMIN 2988 (2020-07-04 17:29:28+00:00),Lincolnwood,7/4/2020
2.41 mi,30.2 ft,2.31mi Run,Bensenville,7/4/2020
1.73 mi,7.9 ft,1.66mi Run,Chicago,7/4/2020
10.61 mi,301.8 ft,10.15mi Run,Chicago,7/4/2020
5.44 mi,67.3 ft,5.28mi Run,Lincolnwood,7/4/2020
2.70 mi,2.6 ft,1.68mi Run,Oak Park,7/4/2020
1.55 mi,11.5 ft,1.52mi Run,Chicago,7/4/2020
2.05 mi,14.8 ft,Route from GARMIN 2431 (2020-07-04 14:51:31+00:00),Lincolnwood,7/4/2020
2.73 mi,54.8 ft,2.67mi Run,Highwood,7/4/2020
4.45 mi,31.5 ft,4.01mi Run,Lincolnwood,7/4/2020
4.01 mi,64.6 ft,Route from GARMIN 2503 (2020-07-04 14:05:42+00:00),Palatine,7/4/2020
4.63 mi,37.4 ft,4.24mi Run,Lincolnwood,7/4/2020
10.98 mi,217.8 ft,Route from GARMIN 2158 (2020-07-04 11:36:14+00:00),Villa Park,7/4/2020
27.59 mi,637.8 ft,27.24mi Run,Lombard,7/4/2020
3.30 mi,39.4 ft,Route from GARMIN 2697 (2020-07-04 12:37:54+00:00),Libertyville,7/4/2020
9.13 mi,231.3 ft,Route from GARMIN 3113 (2020-07-04 11:24:29+00:00),Hoffman Estates,7/4/2020
8.48 mi,302.2 ft,Route from GARMIN 2886 (2020-07-04 10:57:09+00:00),Chicago,7/4/2020
1.07 mi,7.9 ft,1.01mi Run,Oak Park,7/4/2020
1.71 mi,41.0 ft,1.61mi Run,Chicago,7/4/2020
4.46 mi,87.3 ft,4.02mi Run,Chicago,7/4/2020
3.33 mi,108.6 ft,5.03km Run,Chicago,7/4/2020
5.17 mi,55.8 ft,Route from GARMIN 2158 (2020-07-04 01:52:16+00:00),Libertyville,7/3/2020
1.80 mi,35.8 ft,Run 1.75mi on 7/3/20,Vernon Hills,7/3/2020
3.15 mi,21.7 ft,3.05mi Run,Lincolnwood,7/3/2020
3.35 mi,62.7 ft,Route from GARMIN 2888 (2020-07-04 00:36:31+00:00),Evanston,7/3/2020
3.12 mi,15.1 ft,3.00mi Run,Cicero,7/3/2020
5.60 mi,108.6 ft,5.37mi Run,Chicago,7/3/2020
6.24 mi,42.3 ft,10K From House,Elmwood Park,7/3/2020
6.25 mi,102.4 ft,Caldwell Woods - Lena,Niles,7/3/2020
2.25 mi,38.1 ft,Caldwell Woods,Niles,7/3/2020
2.45 mi,248.4 ft,2.03mi Run,Chicago,7/3/2020
4.93 mi,80.1 ft,5 miles wander LB,Lake Bluff,7/3/2020
5.02 mi,68.9 ft,5 elm tree to woodland,Lake Bluff,7/3/2020
2.08 mi,20.7 ft,2.01mi Run,Oak Park,7/3/2020
6.02 mi,86.6 ft,6 miles -elm tree,Lake Bluff,7/3/2020
1.15 mi,65.3 ft,Route from GARMIN 2431 (2020-07-03 20:53:53+00:00),Chicago,7/3/2020
3.04 mi,37.7 ft,Route from GARMIN 2431 (2020-07-03 19:57:24+00:00),Chicago,7/3/2020
4.92 mi,58.7 ft,Route from GARMIN 2888 (2020-07-03 20:11:35+00:00),Evanston,7/3/2020
3.28 mi,27.2 ft,3.10mi Run,Chicago,7/3/2020
3.11 mi,34.8 ft,3.02mi Run,Chicago,7/3/2020
4.07 mi,68.9 ft,4.01mi Run,Hoffman Estates,7/3/2020
3.23 mi,360.6 ft,2.98mi Run,Chicago,7/3/2020
4.52 mi,32.2 ft,Route from GARMIN FR920XT (2020-07-03 16:03:43+00:00),Oak Park,7/3/2020
2.08 mi,26.9 ft,Route from GARMIN 2431 (2020-07-03 13:19:44+00:00),Lincolnwood,7/3/2020
2.55 mi,20.7 ft,Route from GARMIN 2431 (2020-07-03 16:22:43+00:00),Lincolnwood,7/3/2020
2.65 mi,22.6 ft,2.42mi Run,Itasca,7/3/2020
2.39 mi,25.6 ft,Route from GARMIN 2431 (2020-07-03 14:14:17+00:00),Deerfield,7/3/2020
0.41 mi,8.5 ft,Route from GARMIN 2623 (2020-07-03 15:26:44+00:00),Lincolnwood,7/3/2020
4.94 mi,37.7 ft,Route from GARMIN 2623 (2020-07-03 14:37:39+00:00),Lincolnwood,7/3/2020
1.89 mi,20.0 ft,1.81mi Run,Oak Park,7/3/2020
2.45 mi,26.6 ft,Happy Friday!!!,Lincolnwood,7/3/2020
4.29 mi,55.8 ft,3.89mi Run,Northbrook,7/3/2020
4.34 mi,28.9 ft,4.20mi Run,Forest Park,7/3/2020
24.82 mi,559.1 ft,24.38mi Run,Lombard,7/3/2020
3.28 mi,44.3 ft,Route from GARMIN 2697 (2020-07-03 12:09:01+00:00),Libertyville,7/3/2020
4.67 mi,120.4 ft,4.52мил. Бег,Deer Park,7/3/2020
6.69 mi,109.9 ft,6.50mi Run,Chicago,7/3/2020
0.71 mi,19.0 ft,Route from GARMIN 2431 (2020-07-03 11:51:45+00:00),Deer Park,7/3/2020
3.07 mi,45.9 ft,Route from GARMIN 2888 (2020-07-03 11:05:00+00:00),Evanston,7/3/2020
1.36 mi,39.4 ft,2.07km Run,Chicago,7/3/2020
3.87 mi,49.9 ft,3.80mi Run,Bensenville,7/2/2020
3.19 mi,60.0 ft,3.01mi Run,Itasca,7/2/2020
6.12 mi,74.5 ft,6.01mi Run,Chicago,7/2/2020
3.39 mi,29.5 ft,Route from GARMIN 2888 (2020-07-02 23:50:58+00:00),Evanston,7/2/2020
1.11 mi,5.2 ft,Route from GARMIN 2431 (2020-07-03 00:05:26+00:00),Lincolnwood,7/2/2020
4.41 mi,60.0 ft,Route from GARMIN 2158 (2020-07-02 23:07:15+00:00),Libertyville,7/2/2020
5.12 mi,89.2 ft,Route from GARMIN 2431 (2020-07-02 22:11:38+00:00),Lincolnwood,7/2/2020
1.44 mi,24.3 ft,Route from GARMIN 2431 (2020-07-02 22:21:53+00:00),Evanston,7/2/2020
3.32 mi,52.2 ft,2.80mi Run,Chicago,7/2/2020
6.98 mi,102.7 ft,DPU-Lakefront North-Irving Park-Belmont/Halsted Alt Crossing,Chicago,7/2/2020
8.75 mi,605.0 ft,6.04mi Run,Chicago,7/2/2020
3.11 mi,28.5 ft,3.03mi Run,Chicago,7/2/2020
6.21 mi,60.7 ft,Route from GARMIN 2988 (2020-07-02 17:07:54+00:00),Lincolnwood,7/2/2020
4.33 mi,45.9 ft,4.04mi Run,Chicago,7/2/2020
4.31 mi,86.3 ft,Route from GARMIN 2700 (2020-07-02 15:56:06+00:00),Lincolnwood,7/2/2020
3.10 mi,15.7 ft,3.00mi Run,Cicero,7/2/2020
6.16 mi,54.8 ft,6.00mi Run,Des Plaines,7/2/2020
4.22 mi,45.9 ft,Route from MapMyRun iPhone (2020-06-27),Lincolnwood,7/2/2020
3.14 mi,34.4 ft,Route from MapMyRun iPhone (2020-07-02),Lincolnwood,7/2/2020
4.18 mi,36.4 ft,4.50mi Run,Norridge,7/2/2020
2.75 mi,21.3 ft,Route from GARMIN 2431 (2020-07-02 13:06:34+00:00),Lincolnwood,7/2/2020
2.39 mi,53.5 ft,Route from GARMIN 2431 (2020-07-02 13:28:27+00:00),Deer Park,7/2/2020
4.34 mi,29.5 ft,4.20mi Run,Forest Park,7/2/2020
7.65 mi,188.6 ft,7.44мил. Бег,Deer Park,7/2/2020
3.10 mi,24.6 ft,3.01mi Run,Lincolnwood,7/2/2020
20.47 mi,498.4 ft,20.13mi Run,Lombard,7/2/2020
6.80 mi,367.5 ft,Route from GARMIN 2431 (2020-07-02 11:19:53+00:00),Chicago,7/2/2020
3.73 mi,377.6 ft,3.39mi Run,Chicago,7/2/2020
4.65 mi,110.6 ft,4.27mi Run,Chicago,7/2/2020
0.83 mi,5.6 ft,0.92mi Run,Oak Park,7/2/2020
2.71 mi,35.8 ft,Route from GARMIN 2431 (2020-07-02 10:40:51+00:00),Deerfield,7/2/2020
2.99 mi,47.9 ft,2.91mi Run,Bensenville,7/1/2020
3.38 mi,29.2 ft,3.29mi Run,Lincolnwood,7/1/2020
4.01 mi,39.7 ft,Route from GARMIN 2888 (2020-07-02 00:40:04+00:00),Evanston,7/1/2020
3.57 mi,35.4 ft,Route from GARMIN 2431 (2020-07-01 23:27:06+00:00),Lincolnwood,7/1/2020
2.52 mi,23.0 ft,2.47mi Run,Lincolnwood,7/1/2020
2.85 mi,41.0 ft,4.30km Run,Chicago,7/1/2020
0.11 mi,0.0 ft,Route from GARMIN 2431 (2020-07-01 23:11:22+00:00),Park Ridge,7/1/2020
4.11 mi,64.6 ft,4.00mi Run,Chicago,7/1/2020
2.13 mi,76.1 ft,2.01mi Run,Chicago,7/1/2020
3.60 mi,38.4 ft,Route from GARMIN FR220 (2020-07-01 20:43:32+00:00),Glenview,7/1/2020
7.10 mi,110.6 ft,Route from GARMIN 2431 (2020-07-01 19:19:41+00:00),Lincolnwood,7/1/2020
5.29 mi,90.6 ft,Route from Suunto (2020-07-01),Chicago,7/1/2020
2.15 mi,34.4 ft,Run,Lincolnwood,7/1/2020
2.32 mi,21.0 ft,2.26mi Run,Broadview,7/1/2020
0.43 mi,12.1 ft,Route from GARMIN 2988 (2020-05-09 15:02:38+00:00),Lincolnwood,7/1/2020
4.22 mi,148.3 ft,4.00mi Run,Chicago,7/1/2020
0.82 mi,9.2 ft,Route from GARMIN 2886 (2020-07-01 12:35:04+00:00),Chicago,7/1/2020
2.53 mi,1.6 ft,Route from GARMIN 2431 (2020-07-01 13:09:30+00:00),Deer Park,7/1/2020
2.54 mi,76.8 ft,2.38mi Run,Chicago,7/1/2020
2.73 mi,41.0 ft,Route from GARMIN 2503 (2020-07-01 14:06:50+00:00),Palatine,7/1/2020
2.11 mi,30.5 ft,2.01mi Run,Schaumburg,7/1/2020
2.42 mi,33.5 ft,Route from GARMIN 2431 (2020-07-01 13:23:13+00:00),Lincolnwood,7/1/2020
5.84 mi,48.9 ft,Route from GARMIN 2623 (2020-07-01 13:26:14+00:00),Lincolnwood,7/1/2020
3.31 mi,23.3 ft,3.20mi Run,Forest Park,7/1/2020
4.54 mi,57.1 ft,4.41mi Run,Lincolnwood,7/1/2020
2.70 mi,64.6 ft,2.53mi Run,Itasca,7/1/2020
3.34 mi,86.6 ft,short lake loop,Chicago,7/1/2020
3.07 mi,41.3 ft,3.01mi Run,Lincolnwood,7/1/2020
3.11 mi,34.1 ft,Route from GARMIN 3113 (2020-07-01 12:31:04+00:00),Arlington Heights,7/1/2020
1.35 mi,21.0 ft,1.25mi Run,Itasca,7/1/2020
3.46 mi,335.0 ft,3.18mi Run,Chicago,7/1/2020
3.30 mi,41.3 ft,Route from GARMIN 2697 (2020-07-01 12:07:36+00:00),Libertyville,7/1/2020
6.21 mi,93.2 ft,5.88mi Run,Grayslake,7/1/2020
3.07 mi,27.6 ft,3.01mi Run,Lincolnwood,7/1/2020
1.00 mi,14.4 ft,Route from GARMIN FR220 (2020-07-01 12:16:12+00:00),Palatine,7/1/2020
2.23 mi,1.0 ft,Route from GARMIN 2886 (2020-07-01 11:50:30+00:00),Chicago,7/1/2020
0.18 mi,0.0 ft,0.18mi Run,Oak Park,7/1/2020
0.17 mi,0.0 ft,0.18mi Run,Oak Park,7/1/2020
5.99 mi,113.5 ft,Route from GARMIN FR220 (2020-07-01 11:15:39+00:00),Palatine,7/1/2020
5.65 mi,74.1 ft,Route from GARMIN 2888 (2020-07-01 11:01:03+00:00),Evanston,7/1/2020
4.06 mi,178.8 ft,3.90mi Run,North Chicago,7/1/2020
3.32 mi,41.0 ft,2.96mi Run,Lincolnwood,7/1/2020
3.09 mi,27.6 ft,3.03mi Run,Rolling Meadows,7/1/2020
3.15 mi,74.1 ft,3.03mi Run,Evanston,7/1/2020
6.49 mi,157.2 ft,6.30mi Run,Bloomingdale,7/1/2020
3.13 mi,24.6 ft,3.05mi Run,Elmhurst,7/1/2020
3.15 mi,22.6 ft,3.07mi Run,Elmhurst,7/1/2020
4.68 mi,151.6 ft,Route from GARMIN 3113 (2020-07-01 10:15:30+00:00),Chicago,7/1/2020
2.73 mi,24.6 ft,"""taper run""",Skokie,7/1/2020
1.18 mi,6.9 ft,Route from GARMIN 2431 (2020-07-01 04:23:16+00:00),Lincolnwood,6/30/2020
5.93 mi,78.4 ft,5.78mi Run,Chicago,6/30/2020
3.00 mi,45.6 ft,2.92mi Run,Bensenville,6/30/2020
2.02 mi,33.1 ft,Route from GARMIN 2431 (2020-07-01 02:38:46+00:00),Chicago,6/30/2020
1.39 mi,12.5 ft,Route from GARMIN 2604 (2020-06-30 23:41:41+00:00),Bensenville,6/30/2020
1.82 mi,35.4 ft,1.70mi Run,Vernon Hills,6/30/2020
4.49 mi,201.4 ft,3.96mi Run,Chicago,6/30/2020
2.99 mi,32.5 ft,2.91mi Run,Schaumburg,6/30/2020
3.30 mi,45.6 ft,Route from GARMIN 2888 (2020-07-01 00:12:11+00:00),Evanston,6/30/2020
5.05 mi,105.3 ft,Route from GARMIN 2697 (2020-06-30 23:11:07+00:00),Elmhurst,6/30/2020
5.21 mi,125.0 ft,Route from GARMIN 2158 (2020-06-30 23:17:50+00:00),Libertyville,6/30/2020
2.94 mi,21.7 ft,2.88mi Run,Lincolnwood,6/30/2020
3.18 mi,55.4 ft,3.03mi Run,Park City,6/30/2020
2.33 mi,26.9 ft,2.12mi Run,Lincolnwood,6/30/2020
1.52 mi,17.4 ft,Route from GARMIN 2431 (2020-06-05 13:58:30+00:00),Deer Park,6/30/2020
13.11 mi,259.5 ft,Route from GARMIN 2431 (2020-06-10 12:33:06+00:00),Norridge,6/30/2020
1.73 mi,47.9 ft,Route from GARMIN 2431 (2020-06-06 13:18:52+00:00),Deer Park,6/30/2020
2.36 mi,55.4 ft,Route from GARMIN 2431 (2020-06-11 23:38:38+00:00),Deer Park,6/30/2020
1.98 mi,44.0 ft,Route from GARMIN 2431 (2020-06-30 12:49:47+00:00),Deer Park,6/30/2020
1.73 mi,57.1 ft,Route from GARMIN 2431 (2020-06-03 00:42:27+00:00),Deer Park,6/30/2020
1.37 mi,24.6 ft,Route from GARMIN 2431 (2020-06-17 00:00:52+00:00),Kildeer,6/30/2020
1.91 mi,42.7 ft,Route from GARMIN 2431 (2020-06-02 01:02:50+00:00),Deer Park,6/30/2020
3.19 mi,85.6 ft,Route from GARMIN 2431 (2020-06-09 13:58:23+00:00),Deer Park,6/30/2020
1.49 mi,24.6 ft,Route from GARMIN 2431 (2020-06-18 22:32:51+00:00),Barrington,6/30/2020
11.99 mi,243.8 ft,Route from GARMIN 2431 (2020-06-13 15:31:39+00:00),Wheeling,6/30/2020
3.09 mi,76.1 ft,Route from GARMIN 2431 (2020-06-13 14:25:48+00:00),Deer Park,6/30/2020
2.34 mi,55.4 ft,Route from GARMIN 2431 (2020-06-22 12:52:18+00:00),Deer Park,6/30/2020
1.06 mi,9.5 ft,Route from GARMIN 2431 (2020-06-10 22:50:05+00:00),Deer Park,6/30/2020
1.58 mi,41.7 ft,Route from GARMIN 2431 (2020-06-27 01:18:39+00:00),Deer Park,6/30/2020
9.96 mi,151.6 ft,Route from GARMIN 2431 (2020-06-07 14:45:09+00:00),Riverwoods,6/30/2020
1.17 mi,26.9 ft,Route from GARMIN 2431 (2020-06-15 23:48:03+00:00),Deer Park,6/30/2020
2.12 mi,42.7 ft,Route from GARMIN 2431 (2020-06-08 14:25:20+00:00),Deer Park,6/30/2020
1.98 mi,46.6 ft,Route from GARMIN 2431 (2020-06-06 01:03:47+00:00),Deer Park,6/30/2020
1.08 mi,31.2 ft,Route from GARMIN 2431 (2020-06-09 00:04:53+00:00),Deer Park,6/30/2020
3.11 mi,76.4 ft,Route from GARMIN 2431 (2020-06-03 13:29:24+00:00),Deer Park,6/30/2020
4.60 mi,105.3 ft,Route from GARMIN 2431 (2020-06-28 22:12:21+00:00),Deer Park,6/30/2020
1.26 mi,14.8 ft,Route from GARMIN 2431 (2020-06-27 18:06:07+00:00),Deer Park,6/30/2020
0.61 mi,3.3 ft,Route from GARMIN 2431 (2020-06-04 22:17:04+00:00),Deer Park,6/30/2020
2.22 mi,53.8 ft,Route from GARMIN 2431 (2020-06-14 14:15:00+00:00),Kildeer,6/30/2020
1.30 mi,1.0 ft,Route from GARMIN 2431 (2020-06-19 15:21:00+00:00),Deer Park,6/30/2020
1.99 mi,70.9 ft,Route from GARMIN 2431 (2020-06-12 14:35:59+00:00),Inverness,6/30/2020
3.15 mi,75.8 ft,Route from GARMIN 2431 (2020-06-07 13:39:09+00:00),Deer Park,6/30/2020
2.61 mi,60.7 ft,Route from GARMIN 2431 (2020-06-24 13:33:32+00:00),Deer Park,6/30/2020
2.38 mi,71.5 ft,Route from GARMIN 2431 (2020-06-29 13:19:52+00:00),Deer Park,6/30/2020
0.78 mi,10.8 ft,Route from GARMIN 2431 (2020-06-14 00:05:32+00:00),Barrington,6/30/2020
1.88 mi,65.0 ft,Route from GARMIN 2431 (2020-06-20 20:50:27+00:00),Deer Park,6/30/2020
1.26 mi,0.0 ft,Route from GARMIN 2431 (2020-06-25 15:06:48+00:00),Deer Park,6/30/2020
0.99 mi,9.2 ft,Route from GARMIN 2431 (2020-06-20 00:22:54+00:00),Deer Park,6/30/2020
3.15 mi,43.6 ft,3.02mi Run,Chicago,6/30/2020
1.03 mi,9.2 ft,Route from GARMIN 2697 (2020-06-30 15:44:45+00:00),Schaumburg,6/30/2020
2.86 mi,64.0 ft,2.77mi Run,Lombard,6/30/2020
4.38 mi,30.5 ft,4.00mi Run,Lincolnwood,6/30/2020
3.53 mi,61.7 ft,Route from GARMIN 2503 (2020-06-30 10:15:14+00:00),Evanston,6/30/2020
6.43 mi,125.3 ft,DPU-Lakefront North-Waveland-Broadway,Chicago,6/30/2020
13.20 mi,160.8 ft,Route from GARMIN 2988 (2020-06-30 16:20:15+00:00),Lincolnwood,6/30/2020
5.15 mi,36.7 ft,Route from GARMIN 2431 (2020-06-30 12:48:00+00:00),Glencoe,6/30/2020
3.11 mi,62.3 ft,Route from GARMIN 2697 (2020-06-30 15:04:28+00:00),Schaumburg,6/30/2020
